Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
Sanctions Screening Matches,APAC,Compliance,%,13,20,Calculated
STR Quality Score,EMEA,Compliance,rate,96,105,Reported
PEP Screening Hits,EMEA,Risk Analytics,%,95,90,Reported
High-Risk Customer Count,NA,AML Investigations,count,2512,2158,Calculated
Case Backlog Volume,EMEA,Risk Analytics,count,769,839,Reported
Transaction Monitoring Alerts,LATAM,Compliance,score,24,22,Estimated
EDD Completion Rate,LATAM,AML Investigations,score,81,83,Calculated
KYC Exceptions Rate,LATAM,Risk Analytics,count,4141,4106,Estimated
False Positive Rate,NA,AML Investigations,count,143,636,Reported
SAR Filing Timeliness,NA,AFC Ops,rate,60,71,Calculated
Adverse Media Hits,APAC,AML Investigations,rate,91,89,Estimated
Alert Clearance SLA Breaches,NA,Risk Analytics,count,3678,4470,Reported
Custom Metric 13,NA,Risk Analytics,count,1196,1339,Calculated
Custom Metric 14,EMEA,Risk Analytics,count,1464,853,Estimated
Custom Metric 15,APAC,AML Investigations,%,5,9,Reported
Custom Metric 16,EMEA,AFC Ops,rate,62,53,Reported
Custom Metric 17,LATAM,AML Investigations,count,587,1158,Estimated
Custom Metric 18,EMEA,Risk Analytics,score,49,37,Estimated
Custom Metric 19,LATAM,Risk Analytics,count,228,489,Calculated
Custom Metric 20,NA,Risk Analytics,count,26,693,Estimated
Custom Metric 21,NA,AML Investigations,%,85,73,Estimated
Custom Metric 22,APAC,Compliance,count,2995,2685,Estimated
Custom Metric 23,APAC,AML Investigations,%,42,52,Reported
Custom Metric 24,EMEA,AFC Ops,count,2209,1907,Calculated
Custom Metric 25,LATAM,Compliance,rate,46,54,Calculated
Custom Metric 26,LATAM,Risk Analytics,score,34,45,Calculated
Custom Metric 27,NA,AML Investigations,count,4945,5218,Estimated
Custom Metric 28,NA,AFC Ops,rate,75,71,Calculated
Custom Metric 29,EMEA,AML Investigations,count,4927,5662,Calculated
Custom Metric 30,APAC,Risk Analytics,score,23,10,Estimated
Custom Metric 31,EMEA,AML Investigations,rate,13,29,Estimated
Custom Metric 32,LATAM,AFC Ops,count,415,1095,Calculated
Custom Metric 33,EMEA,AML Investigations,%,73,76,Reported
Custom Metric 34,APAC,AFC Ops,count,2402,2177,Calculated
Custom Metric 35,APAC,AFC Ops,count,4601,4193,Calculated
Custom Metric 36,LATAM,Compliance,%,8,3,Estimated
Custom Metric 37,LATAM,AFC Ops,count,1522,1208,Estimated
Custom Metric 38,APAC,AFC Ops,rate,0,6,Reported
Custom Metric 39,APAC,AML Investigations,%,3,4,Calculated
Custom Metric 40,LATAM,AFC Ops,count,2192,2168,Calculated
Custom Metric 41,APAC,Compliance,rate,48,57,Reported
Custom Metric 42,LATAM,AML Investigations,%,38,29,Estimated
Custom Metric 43,APAC,Risk Analytics,%,7,9,Reported
Custom Metric 44,LATAM,AML Investigations,count,1018,873,Estimated
Custom Metric 45,EMEA,Risk Analytics,count,2819,3514,Calculated
Custom Metric 46,APAC,AFC Ops,%,58,45,Calculated
Custom Metric 47,NA,Risk Analytics,count,907,589,Estimated
Custom Metric 48,APAC,Risk Analytics,rate,52,57,Calculated
Custom Metric 49,EMEA,Compliance,count,625,216,Reported
Custom Metric 50,EMEA,AML Investigations,score,14,0,Calculated
Custom Metric 51,NA,AML Investigations,%,22,13,Estimated
Custom Metric 52,APAC,Risk Analytics,count,3300,2574,Calculated
Custom Metric 53,NA,AML Investigations,score,101,102,Reported
Custom Metric 54,LATAM,Compliance,count,1601,1696,Estimated
Custom Metric 55,APAC,AML Investigations,count,1332,2084,Estimated
Custom Metric 56,EMEA,AFC Ops,%,53,40,Reported
Custom Metric 57,APAC,Risk Analytics,rate,67,59,Calculated
