Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
EDD Completion Rate,EMEA,Compliance,count,1082,1037,Calculated
KYC Exceptions Rate,LATAM,AFC Ops,count,992,1708,Estimated
Alert Clearance SLA Breaches,EMEA,Risk Analytics,count,2483,2502,Calculated
Transaction Monitoring Alerts,EMEA,Risk Analytics,score,31,21,Calculated
Sanctions Screening Matches,LATAM,Compliance,count,708,796,Calculated
False Positive Rate,LATAM,AML Investigations,score,61,80,Estimated
Case Backlog Volume,NA,Risk Analytics,count,2907,3417,Reported
STR Quality Score,EMEA,Risk Analytics,count,3555,4245,Estimated
Adverse Media Hits,LATAM,Compliance,%,60,57,Estimated
High-Risk Customer Count,EMEA,AML Investigations,count,4171,4627,Calculated
PEP Screening Hits,NA,AML Investigations,count,4933,4464,Calculated
SAR Filing Timeliness,LATAM,Compliance,rate,73,75,Calculated
Custom Metric 13,APAC,AML Investigations,%,29,30,Estimated
Custom Metric 14,LATAM,AML Investigations,score,93,86,Estimated
Custom Metric 15,APAC,Compliance,score,69,60,Reported
Custom Metric 16,NA,AML Investigations,count,1834,2135,Calculated
Custom Metric 17,LATAM,Risk Analytics,%,7,20,Estimated
Custom Metric 18,EMEA,Compliance,score,32,37,Reported
Custom Metric 19,EMEA,AML Investigations,%,11,12,Reported
Custom Metric 20,APAC,Compliance,rate,31,41,Reported
Custom Metric 21,APAC,AML Investigations,%,93,102,Estimated
Custom Metric 22,NA,Risk Analytics,count,3849,3121,Calculated
Custom Metric 23,APAC,Compliance,count,3525,3936,Estimated
Custom Metric 24,EMEA,AML Investigations,%,19,12,Estimated
Custom Metric 25,NA,Compliance,rate,60,56,Estimated
Custom Metric 26,APAC,AML Investigations,rate,45,48,Estimated
Custom Metric 27,EMEA,Compliance,%,41,39,Estimated
Custom Metric 28,NA,Compliance,score,92,94,Reported
Custom Metric 29,LATAM,Risk Analytics,rate,61,63,Estimated
Custom Metric 30,LATAM,AML Investigations,rate,76,62,Calculated
Custom Metric 31,APAC,AFC Ops,rate,90,105,Reported
Custom Metric 32,APAC,Risk Analytics,score,62,81,Reported
Custom Metric 33,EMEA,Compliance,rate,68,69,Estimated
Custom Metric 34,EMEA,AML Investigations,count,144,0,Calculated
Custom Metric 35,NA,AML Investigations,count,503,0,Calculated
Custom Metric 36,APAC,AFC Ops,score,86,88,Calculated
Custom Metric 37,EMEA,Compliance,score,26,19,Estimated
Custom Metric 38,NA,Compliance,count,4175,4430,Reported
Custom Metric 39,LATAM,Risk Analytics,%,17,13,Reported
Custom Metric 40,NA,AFC Ops,count,316,0,Estimated
Custom Metric 41,LATAM,AML Investigations,count,1881,1914,Calculated
Custom Metric 42,NA,AML Investigations,count,3175,3552,Estimated
Custom Metric 43,LATAM,AFC Ops,score,59,55,Calculated
Custom Metric 44,NA,AML Investigations,count,4759,4720,Calculated
Custom Metric 45,LATAM,AML Investigations,rate,4,6,Reported
Custom Metric 46,APAC,Risk Analytics,count,2078,2184,Reported
Custom Metric 47,NA,AFC Ops,count,1209,957,Estimated
Custom Metric 48,NA,AFC Ops,%,20,22,Reported
Custom Metric 49,NA,AML Investigations,rate,16,14,Estimated
Custom Metric 50,LATAM,Compliance,rate,44,41,Estimated
Custom Metric 51,EMEA,AFC Ops,count,1389,867,Estimated
Custom Metric 52,NA,AFC Ops,count,1073,516,Estimated
Custom Metric 53,NA,Compliance,count,4104,3787,Estimated
Custom Metric 54,NA,AFC Ops,score,58,62,Estimated
Custom Metric 55,LATAM,AFC Ops,score,52,65,Reported
Custom Metric 56,APAC,Compliance,count,4806,5547,Reported
Custom Metric 57,NA,Risk Analytics,score,0,0,Reported
Custom Metric 58,APAC,AML Investigations,count,4590,4422,Calculated
Custom Metric 59,LATAM,AFC Ops,%,23,17,Reported
Custom Metric 60,APAC,AML Investigations,score,44,54,Reported
Custom Metric 61,EMEA,Risk Analytics,count,178,696,Estimated
Custom Metric 62,EMEA,Compliance,%,14,22,Reported
Custom Metric 63,LATAM,AML Investigations,score,48,51,Reported
Custom Metric 64,APAC,Compliance,score,15,10,Calculated
Custom Metric 65,APAC,Risk Analytics,%,19,0,Calculated
Custom Metric 66,EMEA,Risk Analytics,rate,75,85,Calculated
Custom Metric 67,NA,AFC Ops,count,1149,1543,Reported
Custom Metric 68,APAC,AML Investigations,score,57,61,Calculated
Custom Metric 69,APAC,Risk Analytics,rate,93,104,Reported
Custom Metric 70,APAC,AFC Ops,rate,13,2,Estimated
Custom Metric 71,NA,AFC Ops,count,528,630,Estimated
Custom Metric 72,APAC,AML Investigations,%,47,34,Calculated
Custom Metric 73,APAC,AML Investigations,count,1500,1109,Reported
Custom Metric 74,APAC,Compliance,rate,40,54,Estimated
Custom Metric 75,NA,Risk Analytics,count,615,758,Estimated
Custom Metric 76,EMEA,AFC Ops,%,92,98,Estimated
Custom Metric 77,EMEA,Risk Analytics,score,79,90,Estimated
Custom Metric 78,APAC,AML Investigations,score,90,93,Estimated
Custom Metric 79,NA,AML Investigations,score,94,98,Calculated
Custom Metric 80,APAC,AML Investigations,%,9,20,Calculated
Custom Metric 81,LATAM,Compliance,count,580,523,Estimated
Custom Metric 82,NA,Compliance,count,1562,1963,Reported
Custom Metric 83,LATAM,Compliance,rate,0,0,Reported
Custom Metric 84,EMEA,AFC Ops,count,4986,4617,Estimated
Custom Metric 85,NA,Risk Analytics,count,4611,4422,Reported
Custom Metric 86,NA,AML Investigations,%,33,50,Calculated
Custom Metric 87,APAC,AFC Ops,score,58,63,Reported
Custom Metric 88,EMEA,AML Investigations,count,3032,2403,Estimated
Custom Metric 89,LATAM,AFC Ops,score,61,56,Estimated
Custom Metric 90,APAC,Risk Analytics,rate,54,41,Reported
Custom Metric 91,EMEA,AML Investigations,count,613,772,Reported
Custom Metric 92,APAC,Risk Analytics,count,3026,2451,Estimated
Custom Metric 93,LATAM,AML Investigations,rate,98,86,Calculated
Custom Metric 94,APAC,AML Investigations,rate,13,13,Estimated
Custom Metric 95,APAC,AML Investigations,%,14,28,Calculated
Custom Metric 96,LATAM,AML Investigations,%,33,35,Calculated
Custom Metric 97,EMEA,AML Investigations,count,1173,501,Calculated
Custom Metric 98,EMEA,AML Investigations,score,41,41,Reported
Custom Metric 99,APAC,Risk Analytics,count,1888,1236,Estimated
Custom Metric 100,APAC,Compliance,count,2118,2055,Estimated
