Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
High-Risk Customer Count,LATAM,AML Investigations,%,52,52,Estimated
Sanctions Screening Matches,APAC,AML Investigations,rate,101,94,Calculated
SAR Filing Timeliness,APAC,Compliance,rate,97,95,Reported
PEP Screening Hits,NA,Compliance,%,32,27,Estimated
Alert Clearance SLA Breaches,NA,Compliance,%,71,78,Calculated
EDD Completion Rate,APAC,AFC Ops,rate,9,23,Calculated
Case Backlog Volume,NA,AML Investigations,%,43,42,Calculated
Transaction Monitoring Alerts,APAC,Risk Analytics,rate,58,44,Estimated
False Positive Rate,LATAM,AFC Ops,%,31,34,Estimated
Adverse Media Hits,EMEA,Compliance,%,58,71,Estimated
STR Quality Score,NA,AFC Ops,count,2027,2381,Reported
KYC Exceptions Rate,APAC,AML Investigations,score,68,71,Reported
Custom Metric 13,LATAM,Risk Analytics,%,68,58,Reported
Custom Metric 14,APAC,AML Investigations,score,53,53,Calculated
Custom Metric 15,NA,AFC Ops,count,2252,2300,Calculated
Custom Metric 16,APAC,AFC Ops,count,2676,2466,Estimated
Custom Metric 17,NA,Compliance,count,3963,4223,Reported
Custom Metric 18,EMEA,AML Investigations,count,4811,4988,Calculated
Custom Metric 19,NA,AML Investigations,count,3805,4584,Reported
Custom Metric 20,EMEA,AFC Ops,count,3282,2874,Estimated
Custom Metric 21,APAC,Risk Analytics,score,57,56,Reported
Custom Metric 22,EMEA,AML Investigations,score,40,52,Estimated
Custom Metric 23,APAC,AML Investigations,%,73,68,Estimated
Custom Metric 24,LATAM,Risk Analytics,%,70,74,Calculated
Custom Metric 25,EMEA,AML Investigations,rate,15,7,Estimated
Custom Metric 26,NA,AFC Ops,rate,21,26,Estimated
Custom Metric 27,NA,Risk Analytics,count,46,0,Calculated
Custom Metric 28,APAC,Risk Analytics,count,4837,4513,Reported
Custom Metric 29,LATAM,AML Investigations,count,1866,1974,Estimated
Custom Metric 30,NA,Risk Analytics,count,4918,5072,Estimated
Custom Metric 31,APAC,Compliance,score,77,76,Estimated
Custom Metric 32,EMEA,AFC Ops,count,873,726,Reported
Custom Metric 33,NA,Compliance,%,65,75,Calculated
Custom Metric 34,EMEA,AFC Ops,rate,26,40,Estimated
Custom Metric 35,LATAM,Risk Analytics,count,3700,3694,Estimated
Custom Metric 36,APAC,AFC Ops,rate,57,67,Reported
Custom Metric 37,LATAM,AFC Ops,score,73,83,Calculated
Custom Metric 38,APAC,AML Investigations,score,5,4,Calculated
Custom Metric 39,APAC,AFC Ops,%,59,62,Reported
Custom Metric 40,EMEA,AML Investigations,%,59,47,Calculated
Custom Metric 41,LATAM,AML Investigations,count,2535,1865,Calculated
Custom Metric 42,LATAM,Risk Analytics,%,78,76,Reported
Custom Metric 43,APAC,AFC Ops,%,30,25,Calculated
Custom Metric 44,NA,Risk Analytics,count,4284,4128,Estimated
Custom Metric 45,LATAM,AML Investigations,count,1672,1069,Estimated
Custom Metric 46,EMEA,Compliance,count,3003,2430,Reported
Custom Metric 47,NA,AFC Ops,score,64,67,Reported
Custom Metric 48,NA,AML Investigations,%,84,88,Calculated
Custom Metric 49,LATAM,AFC Ops,%,50,49,Reported
