Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
Alert Clearance SLA Breaches,EMEA,AFC Ops,count,3703,4478,Calculated
KYC Exceptions Rate,LATAM,Compliance,%,8,18,Reported
Case Backlog Volume,NA,AFC Ops,%,60,54,Reported
High-Risk Customer Count,EMEA,AFC Ops,count,3905,4577,Calculated
STR Quality Score,EMEA,AFC Ops,score,82,82,Calculated
EDD Completion Rate,NA,AML Investigations,rate,56,46,Calculated
Transaction Monitoring Alerts,APAC,AML Investigations,count,4559,4088,Estimated
Sanctions Screening Matches,NA,Risk Analytics,score,52,57,Estimated
Adverse Media Hits,EMEA,AFC Ops,score,96,92,Estimated
PEP Screening Hits,LATAM,AFC Ops,%,20,24,Reported
SAR Filing Timeliness,LATAM,AFC Ops,count,3709,3639,Estimated
False Positive Rate,NA,AFC Ops,score,94,100,Calculated
Custom Metric 13,LATAM,AML Investigations,%,62,59,Calculated
Custom Metric 14,NA,AFC Ops,rate,65,63,Estimated
Custom Metric 15,LATAM,AML Investigations,%,100,99,Calculated
Custom Metric 16,LATAM,AFC Ops,%,44,30,Reported
Custom Metric 17,NA,Compliance,score,53,63,Calculated
Custom Metric 18,EMEA,AML Investigations,rate,76,84,Estimated
Custom Metric 19,NA,Risk Analytics,rate,24,30,Reported
Custom Metric 20,LATAM,Risk Analytics,rate,8,11,Reported
Custom Metric 21,LATAM,Risk Analytics,score,78,74,Estimated
Custom Metric 22,LATAM,Compliance,count,2020,2485,Estimated
Custom Metric 23,EMEA,Risk Analytics,rate,80,90,Estimated
Custom Metric 24,NA,AFC Ops,count,3527,3885,Calculated
Custom Metric 25,NA,Risk Analytics,count,4593,4165,Calculated
Custom Metric 26,EMEA,AML Investigations,rate,60,55,Calculated
Custom Metric 27,EMEA,AML Investigations,rate,57,56,Calculated
Custom Metric 28,APAC,Risk Analytics,%,51,54,Estimated
Custom Metric 29,NA,AFC Ops,score,68,70,Estimated
Custom Metric 30,LATAM,Risk Analytics,%,81,85,Reported
Custom Metric 31,APAC,Compliance,%,61,69,Estimated
Custom Metric 32,LATAM,AML Investigations,score,43,46,Estimated
Custom Metric 33,LATAM,AML Investigations,count,766,300,Reported
Custom Metric 34,LATAM,Compliance,count,2778,2455,Estimated
Custom Metric 35,EMEA,AML Investigations,count,3213,2942,Reported
Custom Metric 36,LATAM,Compliance,score,78,77,Estimated
Custom Metric 37,EMEA,Risk Analytics,rate,91,86,Estimated
Custom Metric 38,NA,AFC Ops,%,75,91,Estimated
Custom Metric 39,APAC,AFC Ops,count,2181,1829,Calculated
Custom Metric 40,EMEA,Compliance,%,86,85,Reported
Custom Metric 41,NA,Risk Analytics,score,93,104,Reported
Custom Metric 42,NA,AFC Ops,rate,66,53,Estimated
