Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
Adverse Media Hits,APAC,Compliance,count,3880,3161,Estimated
Sanctions Screening Matches,NA,Compliance,count,1436,1439,Reported
STR Quality Score,EMEA,AML Investigations,score,63,75,Calculated
Transaction Monitoring Alerts,EMEA,Risk Analytics,count,2463,2957,Calculated
High-Risk Customer Count,EMEA,AML Investigations,count,2090,1699,Calculated
PEP Screening Hits,APAC,AML Investigations,rate,38,27,Estimated
Alert Clearance SLA Breaches,LATAM,Risk Analytics,count,3601,3234,Estimated
Case Backlog Volume,NA,Compliance,rate,33,26,Reported
False Positive Rate,LATAM,AFC Ops,count,3610,4284,Estimated
EDD Completion Rate,LATAM,AML Investigations,count,1619,1719,Estimated
KYC Exceptions Rate,APAC,Risk Analytics,count,1142,457,Reported
SAR Filing Timeliness,APAC,Compliance,count,4011,3422,Reported
Custom Metric 13,LATAM,Risk Analytics,%,26,33,Calculated
Custom Metric 14,EMEA,Compliance,count,4015,3758,Calculated
Custom Metric 15,EMEA,AFC Ops,score,11,7,Reported
Custom Metric 16,APAC,AML Investigations,rate,7,13,Estimated
Custom Metric 17,EMEA,AML Investigations,score,82,88,Reported
Custom Metric 18,EMEA,Compliance,%,16,19,Calculated
Custom Metric 19,LATAM,Risk Analytics,%,48,43,Reported
Custom Metric 20,LATAM,Compliance,score,37,36,Estimated
Custom Metric 21,APAC,AFC Ops,rate,0,1,Calculated
Custom Metric 22,APAC,AML Investigations,count,329,0,Calculated
Custom Metric 23,APAC,Compliance,%,84,80,Calculated
Custom Metric 24,NA,AML Investigations,score,31,25,Calculated
Custom Metric 25,LATAM,Compliance,%,69,62,Calculated
Custom Metric 26,NA,AFC Ops,score,68,67,Estimated
Custom Metric 27,LATAM,AFC Ops,count,945,1183,Reported
Custom Metric 28,NA,AML Investigations,rate,39,51,Reported
Custom Metric 29,NA,AFC Ops,%,0,3,Estimated
Custom Metric 30,APAC,Risk Analytics,rate,12,19,Calculated
Custom Metric 31,LATAM,AFC Ops,count,4548,3830,Estimated
Custom Metric 32,LATAM,AML Investigations,%,45,39,Reported
Custom Metric 33,NA,AFC Ops,rate,43,46,Reported
Custom Metric 34,EMEA,Risk Analytics,rate,42,35,Estimated
Custom Metric 35,EMEA,AML Investigations,%,15,18,Reported
Custom Metric 36,EMEA,AFC Ops,count,559,711,Reported
Custom Metric 37,EMEA,Risk Analytics,%,19,15,Estimated
Custom Metric 38,APAC,Risk Analytics,score,11,17,Reported
Custom Metric 39,NA,AML Investigations,rate,10,7,Calculated
Custom Metric 40,APAC,Risk Analytics,rate,30,33,Estimated
Custom Metric 41,EMEA,Risk Analytics,rate,70,72,Estimated
Custom Metric 42,APAC,Risk Analytics,count,813,388,Reported
Custom Metric 43,APAC,AFC Ops,count,3629,3310,Reported
Custom Metric 44,APAC,Compliance,rate,97,104,Estimated
Custom Metric 45,EMEA,AML Investigations,rate,104,100,Estimated
Custom Metric 46,LATAM,Risk Analytics,rate,19,26,Reported
Custom Metric 47,NA,Risk Analytics,rate,87,78,Reported
Custom Metric 48,EMEA,AFC Ops,count,2539,2969,Reported
Custom Metric 49,EMEA,AFC Ops,count,4147,3707,Calculated
Custom Metric 50,EMEA,Risk Analytics,%,75,76,Estimated
Custom Metric 51,APAC,Risk Analytics,score,58,44,Estimated
