Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
EDD Completion Rate,APAC,AML Investigations,rate,94,91,Reported
Alert Clearance SLA Breaches,LATAM,AFC Ops,score,103,97,Reported
Transaction Monitoring Alerts,EMEA,Risk Analytics,rate,91,88,Calculated
STR Quality Score,EMEA,Risk Analytics,count,1515,936,Estimated
SAR Filing Timeliness,LATAM,Compliance,%,6,17,Estimated
High-Risk Customer Count,NA,Risk Analytics,count,3595,3598,Calculated
KYC Exceptions Rate,LATAM,Risk Analytics,%,84,88,Reported
False Positive Rate,NA,AFC Ops,score,87,89,Reported
Sanctions Screening Matches,APAC,Compliance,count,4408,4443,Calculated
Adverse Media Hits,APAC,AML Investigations,count,2720,2302,Reported
PEP Screening Hits,LATAM,AFC Ops,score,29,30,Calculated
Case Backlog Volume,NA,AFC Ops,rate,14,29,Reported
Custom Metric 13,NA,Compliance,count,2471,2688,Estimated
Custom Metric 14,EMEA,Compliance,count,4409,4838,Calculated
Custom Metric 15,NA,AML Investigations,count,2982,3284,Reported
Custom Metric 16,APAC,Risk Analytics,%,90,78,Calculated
Custom Metric 17,NA,Compliance,score,81,68,Calculated
Custom Metric 18,LATAM,Risk Analytics,count,3502,3196,Calculated
Custom Metric 19,LATAM,AFC Ops,count,330,650,Estimated
Custom Metric 20,EMEA,AFC Ops,%,81,77,Calculated
Custom Metric 21,APAC,Risk Analytics,score,58,47,Estimated
Custom Metric 22,EMEA,AFC Ops,%,30,24,Reported
Custom Metric 23,NA,Risk Analytics,%,64,70,Estimated
Custom Metric 24,NA,Risk Analytics,rate,32,49,Estimated
Custom Metric 25,NA,AFC Ops,count,1943,1292,Estimated
Custom Metric 26,APAC,AFC Ops,count,2015,1417,Estimated
Custom Metric 27,APAC,Compliance,%,105,93,Calculated
Custom Metric 28,EMEA,AML Investigations,rate,83,83,Calculated
Custom Metric 29,EMEA,Risk Analytics,count,3722,3212,Reported
Custom Metric 30,APAC,Risk Analytics,count,2002,1237,Estimated
Custom Metric 31,NA,AFC Ops,%,99,92,Calculated
Custom Metric 32,NA,AFC Ops,count,2100,2009,Reported
Custom Metric 33,NA,AFC Ops,rate,69,72,Reported
Custom Metric 34,LATAM,Risk Analytics,%,73,78,Reported
Custom Metric 35,NA,AML Investigations,count,1937,1597,Calculated
Custom Metric 36,EMEA,Compliance,rate,80,75,Calculated
Custom Metric 37,APAC,AML Investigations,score,81,90,Calculated
Custom Metric 38,EMEA,AFC Ops,count,4908,4740,Calculated
Custom Metric 39,APAC,AFC Ops,%,105,98,Estimated
Custom Metric 40,EMEA,Risk Analytics,count,4284,4544,Reported
Custom Metric 41,NA,AML Investigations,%,50,53,Estimated
Custom Metric 42,EMEA,AML Investigations,%,8,5,Estimated
Custom Metric 43,NA,AFC Ops,rate,17,25,Estimated
Custom Metric 44,LATAM,Risk Analytics,score,56,55,Calculated
Custom Metric 45,NA,Risk Analytics,score,33,25,Estimated
Custom Metric 46,LATAM,Risk Analytics,rate,41,54,Reported
Custom Metric 47,EMEA,AML Investigations,score,100,102,Calculated
Custom Metric 48,NA,Risk Analytics,score,100,102,Estimated
Custom Metric 49,NA,AML Investigations,count,255,0,Reported
Custom Metric 50,APAC,AML Investigations,rate,41,46,Estimated
Custom Metric 51,EMEA,Risk Analytics,rate,22,20,Reported
Custom Metric 52,NA,AFC Ops,count,3979,3636,Estimated
Custom Metric 53,LATAM,AML Investigations,rate,76,77,Calculated
Custom Metric 54,NA,AML Investigations,score,32,33,Estimated
Custom Metric 55,EMEA,Compliance,score,57,51,Reported
Custom Metric 56,NA,Compliance,score,68,77,Reported
Custom Metric 57,APAC,AFC Ops,count,3175,3113,Reported
Custom Metric 58,LATAM,AFC Ops,rate,39,40,Reported
Custom Metric 59,NA,Risk Analytics,%,16,22,Estimated
Custom Metric 60,APAC,Risk Analytics,rate,87,97,Calculated
Custom Metric 61,LATAM,Compliance,score,74,67,Calculated
Custom Metric 62,EMEA,Compliance,rate,72,79,Estimated
Custom Metric 63,LATAM,AFC Ops,%,77,88,Reported
Custom Metric 64,NA,AML Investigations,score,59,48,Reported
Custom Metric 65,EMEA,AFC Ops,%,18,27,Estimated
Custom Metric 66,APAC,Compliance,rate,10,8,Calculated
Custom Metric 67,APAC,Compliance,%,20,25,Reported
Custom Metric 68,LATAM,Risk Analytics,score,58,70,Calculated
Custom Metric 69,APAC,Risk Analytics,score,79,80,Calculated
Custom Metric 70,EMEA,AML Investigations,count,1086,1191,Reported
Custom Metric 71,EMEA,AML Investigations,%,75,72,Calculated
Custom Metric 72,APAC,AFC Ops,rate,66,74,Reported
Custom Metric 73,APAC,AML Investigations,rate,45,44,Calculated
Custom Metric 74,NA,AFC Ops,rate,67,51,Reported
Custom Metric 75,NA,AML Investigations,count,1795,2143,Reported
Custom Metric 76,NA,AML Investigations,%,49,32,Estimated
Custom Metric 77,NA,Compliance,count,3028,3032,Calculated
Custom Metric 78,LATAM,Risk Analytics,%,52,37,Reported
Custom Metric 79,NA,Risk Analytics,%,20,25,Calculated
Custom Metric 80,EMEA,AML Investigations,count,4708,4983,Estimated
Custom Metric 81,APAC,Risk Analytics,score,97,83,Reported
Custom Metric 82,APAC,AFC Ops,%,32,35,Calculated
Custom Metric 83,APAC,AML Investigations,count,783,945,Calculated
Custom Metric 84,APAC,AFC Ops,rate,108,94,Estimated
Custom Metric 85,APAC,Compliance,count,4101,4153,Reported
Custom Metric 86,EMEA,Compliance,%,7,0,Estimated
Custom Metric 87,APAC,Risk Analytics,%,34,48,Calculated
Custom Metric 88,LATAM,Risk Analytics,%,1,20,Reported
Custom Metric 89,APAC,Compliance,count,2721,3130,Calculated
Custom Metric 90,APAC,Risk Analytics,count,1557,889,Reported
Custom Metric 91,EMEA,Compliance,score,72,68,Calculated
Custom Metric 92,APAC,AML Investigations,count,2674,3448,Calculated
