Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
STR Quality Score,EMEA,AFC Ops,%,16,18,Calculated
EDD Completion Rate,LATAM,Risk Analytics,rate,30,15,Reported
High-Risk Customer Count,APAC,AML Investigations,%,19,12,Reported
KYC Exceptions Rate,EMEA,AFC Ops,score,14,13,Calculated
Adverse Media Hits,NA,AFC Ops,%,56,55,Reported
False Positive Rate,EMEA,Risk Analytics,count,4644,4530,Reported
SAR Filing Timeliness,LATAM,AFC Ops,score,46,49,Calculated
PEP Screening Hits,APAC,AFC Ops,count,4837,4261,Estimated
Transaction Monitoring Alerts,NA,AML Investigations,score,30,23,Calculated
Case Backlog Volume,LATAM,Compliance,count,1516,1297,Reported
Sanctions Screening Matches,LATAM,AML Investigations,count,134,241,Calculated
Alert Clearance SLA Breaches,APAC,Risk Analytics,count,2374,1958,Reported
Custom Metric 13,NA,Compliance,%,15,15,Estimated
Custom Metric 14,EMEA,AML Investigations,score,2,0,Reported
Custom Metric 15,EMEA,AFC Ops,count,1978,2501,Reported
Custom Metric 16,EMEA,AFC Ops,count,3573,2795,Calculated
Custom Metric 17,LATAM,AFC Ops,rate,1,9,Estimated
Custom Metric 18,APAC,Compliance,count,3254,2590,Estimated
Custom Metric 19,NA,Compliance,score,77,83,Estimated
Custom Metric 20,EMEA,Compliance,%,91,91,Estimated
Custom Metric 21,APAC,Risk Analytics,rate,108,90,Reported
Custom Metric 22,LATAM,AML Investigations,%,0,0,Estimated
Custom Metric 23,LATAM,AFC Ops,%,92,83,Reported
Custom Metric 24,LATAM,Compliance,count,3329,2831,Estimated
Custom Metric 25,LATAM,Risk Analytics,count,1509,2266,Calculated
Custom Metric 26,NA,Risk Analytics,count,4881,5060,Calculated
Custom Metric 27,LATAM,AML Investigations,rate,35,32,Calculated
Custom Metric 28,NA,AML Investigations,count,82,456,Estimated
Custom Metric 29,NA,Compliance,count,3083,3437,Reported
Custom Metric 30,APAC,AML Investigations,rate,6,16,Calculated
Custom Metric 31,APAC,AFC Ops,%,104,103,Reported
Custom Metric 32,LATAM,AML Investigations,score,96,90,Reported
Custom Metric 33,APAC,AML Investigations,count,1552,1410,Calculated
