Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
False Positive Rate,APAC,Compliance,score,82,96,Estimated
Transaction Monitoring Alerts,APAC,AML Investigations,%,80,85,Estimated
STR Quality Score,LATAM,Risk Analytics,%,46,53,Reported
High-Risk Customer Count,NA,Risk Analytics,count,2615,2479,Estimated
Case Backlog Volume,APAC,Risk Analytics,score,7,9,Reported
Alert Clearance SLA Breaches,EMEA,Compliance,score,46,31,Estimated
SAR Filing Timeliness,EMEA,AML Investigations,rate,43,30,Reported
EDD Completion Rate,EMEA,AFC Ops,%,36,26,Reported
PEP Screening Hits,NA,AML Investigations,%,67,73,Estimated
Sanctions Screening Matches,NA,AML Investigations,%,80,92,Calculated
KYC Exceptions Rate,NA,AFC Ops,%,8,0,Calculated
Adverse Media Hits,APAC,AFC Ops,count,606,34,Estimated
Custom Metric 13,LATAM,AFC Ops,%,94,84,Estimated
Custom Metric 14,EMEA,AML Investigations,count,1286,1984,Reported
Custom Metric 15,LATAM,Compliance,rate,41,37,Reported
Custom Metric 16,NA,Risk Analytics,count,363,916,Reported
Custom Metric 17,EMEA,AML Investigations,count,4747,5315,Estimated
Custom Metric 18,EMEA,Compliance,rate,29,28,Estimated
Custom Metric 19,EMEA,Compliance,count,1436,1135,Calculated
Custom Metric 20,LATAM,AFC Ops,rate,22,14,Estimated
Custom Metric 21,EMEA,AML Investigations,score,33,20,Reported
Custom Metric 22,APAC,Risk Analytics,%,39,49,Reported
Custom Metric 23,APAC,Risk Analytics,score,36,26,Estimated
Custom Metric 24,EMEA,Compliance,count,2703,2541,Reported
Custom Metric 25,APAC,Compliance,count,3274,3609,Calculated
Custom Metric 26,APAC,AFC Ops,score,78,80,Calculated
Custom Metric 27,APAC,AML Investigations,score,20,26,Estimated
Custom Metric 28,APAC,AFC Ops,score,1,8,Calculated
Custom Metric 29,APAC,AFC Ops,rate,53,51,Calculated
Custom Metric 30,APAC,AFC Ops,%,3,4,Estimated
Custom Metric 31,APAC,Risk Analytics,rate,35,33,Reported
Custom Metric 32,NA,AML Investigations,count,1366,1444,Calculated
Custom Metric 33,LATAM,Compliance,%,73,80,Calculated
Custom Metric 34,NA,Compliance,%,45,56,Reported
Custom Metric 35,APAC,AFC Ops,score,9,18,Calculated
Custom Metric 36,EMEA,AFC Ops,count,948,585,Calculated
Custom Metric 37,APAC,AFC Ops,%,66,57,Estimated
Custom Metric 38,LATAM,AFC Ops,%,30,40,Estimated
Custom Metric 39,NA,Compliance,score,58,66,Calculated
Custom Metric 40,APAC,AML Investigations,%,77,75,Estimated
Custom Metric 41,LATAM,AFC Ops,count,4520,4278,Calculated
Custom Metric 42,LATAM,AML Investigations,rate,86,87,Calculated
Custom Metric 43,APAC,Risk Analytics,count,1294,866,Estimated
Custom Metric 44,NA,AML Investigations,%,44,41,Estimated
Custom Metric 45,NA,Compliance,count,2918,2278,Estimated
Custom Metric 46,APAC,AML Investigations,rate,54,48,Calculated
