Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
High-Risk Customer Count,LATAM,AFC Ops,%,30,34,Reported
Sanctions Screening Matches,NA,AML Investigations,score,67,58,Estimated
Transaction Monitoring Alerts,APAC,Compliance,rate,42,55,Reported
Alert Clearance SLA Breaches,NA,Risk Analytics,count,2388,1968,Calculated
EDD Completion Rate,LATAM,Risk Analytics,score,56,63,Reported
PEP Screening Hits,LATAM,AML Investigations,%,86,87,Reported
Adverse Media Hits,APAC,Risk Analytics,count,600,1290,Reported
False Positive Rate,EMEA,AFC Ops,%,27,29,Reported
STR Quality Score,APAC,Compliance,%,26,30,Calculated
Case Backlog Volume,EMEA,Compliance,%,7,15,Calculated
SAR Filing Timeliness,APAC,Risk Analytics,count,3198,2923,Reported
KYC Exceptions Rate,APAC,AML Investigations,score,53,63,Reported
Custom Metric 13,EMEA,Risk Analytics,%,71,88,Reported
Custom Metric 14,NA,AFC Ops,count,3294,3954,Calculated
Custom Metric 15,EMEA,AFC Ops,rate,56,61,Estimated
Custom Metric 16,EMEA,Risk Analytics,count,4600,5120,Estimated
Custom Metric 17,APAC,Compliance,rate,72,71,Calculated
Custom Metric 18,NA,AML Investigations,score,57,56,Calculated
Custom Metric 19,NA,Compliance,%,12,10,Reported
Custom Metric 20,LATAM,AFC Ops,rate,17,17,Estimated
Custom Metric 21,APAC,AML Investigations,count,2138,2246,Reported
Custom Metric 22,NA,AML Investigations,count,3131,2827,Reported
Custom Metric 23,APAC,Risk Analytics,rate,105,105,Reported
Custom Metric 24,NA,AML Investigations,count,3964,4498,Estimated
Custom Metric 25,APAC,Compliance,%,98,97,Calculated
Custom Metric 26,LATAM,AFC Ops,%,32,43,Calculated
Custom Metric 27,APAC,AFC Ops,count,3327,3046,Estimated
Custom Metric 28,LATAM,Risk Analytics,rate,34,36,Calculated
Custom Metric 29,EMEA,AFC Ops,count,3744,3789,Estimated
Custom Metric 30,APAC,Compliance,score,9,6,Calculated
Custom Metric 31,APAC,AML Investigations,count,1292,1219,Estimated
Custom Metric 32,LATAM,AML Investigations,count,4845,5167,Reported
Custom Metric 33,EMEA,Compliance,%,18,18,Reported
Custom Metric 34,APAC,Risk Analytics,%,33,26,Calculated
Custom Metric 35,LATAM,AML Investigations,rate,89,107,Calculated
Custom Metric 36,APAC,AFC Ops,count,2485,2335,Reported
Custom Metric 37,EMEA,AFC Ops,count,4727,4985,Calculated
Custom Metric 38,NA,Risk Analytics,rate,86,88,Estimated
Custom Metric 39,APAC,AFC Ops,rate,60,60,Reported
