Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
Case Backlog Volume,APAC,AML Investigations,score,28,31,Calculated
PEP Screening Hits,LATAM,AFC Ops,%,10,6,Calculated
Sanctions Screening Matches,APAC,Risk Analytics,rate,5,0,Calculated
High-Risk Customer Count,APAC,Compliance,score,0,0,Reported
SAR Filing Timeliness,LATAM,AML Investigations,score,54,60,Calculated
EDD Completion Rate,NA,Risk Analytics,rate,53,63,Estimated
KYC Exceptions Rate,APAC,AFC Ops,count,3222,3097,Reported
Alert Clearance SLA Breaches,LATAM,Compliance,%,37,41,Reported
False Positive Rate,LATAM,AML Investigations,rate,55,56,Estimated
Adverse Media Hits,LATAM,Risk Analytics,%,35,35,Calculated
Transaction Monitoring Alerts,LATAM,AFC Ops,rate,68,77,Calculated
STR Quality Score,LATAM,Risk Analytics,score,59,57,Estimated
Custom Metric 13,LATAM,Compliance,count,3178,2869,Calculated
Custom Metric 14,APAC,Compliance,score,30,25,Estimated
Custom Metric 15,APAC,AML Investigations,count,782,715,Reported
Custom Metric 16,APAC,AML Investigations,count,4619,4738,Reported
Custom Metric 17,EMEA,AFC Ops,score,57,69,Calculated
Custom Metric 18,LATAM,Compliance,%,0,0,Reported
Custom Metric 19,NA,Compliance,score,6,13,Reported
Custom Metric 20,LATAM,AML Investigations,%,82,85,Calculated
Custom Metric 21,APAC,AML Investigations,score,48,49,Reported
Custom Metric 22,NA,Compliance,rate,87,95,Reported
Custom Metric 23,LATAM,AFC Ops,score,44,44,Estimated
Custom Metric 24,APAC,Compliance,rate,4,0,Calculated
Custom Metric 25,LATAM,Risk Analytics,%,25,29,Calculated
Custom Metric 26,APAC,AFC Ops,count,502,361,Reported
Custom Metric 27,NA,AML Investigations,count,1497,1967,Reported
Custom Metric 28,APAC,Compliance,count,3902,4492,Reported
Custom Metric 29,NA,Compliance,score,19,13,Estimated
Custom Metric 30,LATAM,AML Investigations,rate,50,55,Reported
Custom Metric 31,LATAM,Risk Analytics,rate,90,104,Estimated
Custom Metric 32,LATAM,AML Investigations,%,80,68,Estimated
Custom Metric 33,NA,Risk Analytics,count,531,1187,Estimated
Custom Metric 34,NA,AML Investigations,count,2268,2266,Estimated
Custom Metric 35,LATAM,Risk Analytics,count,985,489,Calculated
Custom Metric 36,APAC,Risk Analytics,count,3148,3663,Estimated
Custom Metric 37,EMEA,AML Investigations,%,88,85,Estimated
Custom Metric 38,LATAM,Risk Analytics,count,2315,2735,Reported
Custom Metric 39,APAC,Compliance,count,891,901,Estimated
Custom Metric 40,EMEA,AFC Ops,count,781,963,Calculated
Custom Metric 41,EMEA,AFC Ops,score,16,16,Estimated
Custom Metric 42,NA,AFC Ops,count,1793,1946,Reported
Custom Metric 43,EMEA,Compliance,count,1077,1134,Estimated
Custom Metric 44,APAC,Compliance,%,58,60,Estimated
Custom Metric 45,NA,AFC Ops,count,1035,1675,Calculated
Custom Metric 46,EMEA,Risk Analytics,count,1700,1040,Calculated
Custom Metric 47,NA,AFC Ops,score,3,0,Reported
Custom Metric 48,LATAM,Compliance,%,47,41,Estimated
Custom Metric 49,EMEA,AML Investigations,count,4956,4852,Calculated
Custom Metric 50,EMEA,Risk Analytics,count,1405,1833,Reported
Custom Metric 51,EMEA,Risk Analytics,rate,28,12,Estimated
Custom Metric 52,NA,Risk Analytics,%,70,58,Calculated
Custom Metric 53,NA,Risk Analytics,rate,85,86,Calculated
Custom Metric 54,NA,AFC Ops,%,85,79,Reported
Custom Metric 55,NA,Compliance,count,4808,5187,Estimated
Custom Metric 56,LATAM,Risk Analytics,count,4330,4162,Calculated
Custom Metric 57,APAC,AFC Ops,rate,77,76,Estimated
Custom Metric 58,EMEA,Risk Analytics,score,80,85,Reported
Custom Metric 59,APAC,Compliance,rate,61,63,Estimated
Custom Metric 60,LATAM,Compliance,score,9,1,Estimated
Custom Metric 61,NA,Risk Analytics,%,77,70,Estimated
Custom Metric 62,LATAM,AFC Ops,%,30,14,Reported
Custom Metric 63,NA,Risk Analytics,score,55,65,Calculated
Custom Metric 64,LATAM,Compliance,count,450,88,Calculated
Custom Metric 65,LATAM,Risk Analytics,%,57,64,Calculated
Custom Metric 66,APAC,AFC Ops,count,1387,703,Reported
Custom Metric 67,NA,Compliance,score,46,47,Estimated
Custom Metric 68,LATAM,Risk Analytics,score,7,18,Reported
Custom Metric 69,APAC,AML Investigations,count,1274,1488,Reported
Custom Metric 70,APAC,AML Investigations,score,62,72,Estimated
Custom Metric 71,EMEA,AFC Ops,rate,87,90,Calculated
Custom Metric 72,NA,AFC Ops,%,41,39,Estimated
Custom Metric 73,EMEA,Compliance,count,931,823,Estimated
Custom Metric 74,NA,AFC Ops,score,96,91,Estimated
Custom Metric 75,EMEA,Risk Analytics,rate,67,69,Reported
Custom Metric 76,EMEA,AML Investigations,score,81,86,Calculated
Custom Metric 77,APAC,AML Investigations,count,799,1038,Estimated
Custom Metric 78,NA,AML Investigations,score,31,30,Calculated
Custom Metric 79,NA,AFC Ops,count,2990,2869,Reported
Custom Metric 80,NA,Risk Analytics,score,98,92,Estimated
Custom Metric 81,LATAM,AFC Ops,count,550,90,Estimated
Custom Metric 82,APAC,Compliance,count,86,493,Calculated
