Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
KYC Exceptions Rate,NA,Compliance,rate,92,84,Reported
Adverse Media Hits,LATAM,AML Investigations,rate,6,5,Reported
Transaction Monitoring Alerts,NA,AFC Ops,count,4954,4385,Calculated
STR Quality Score,EMEA,AML Investigations,rate,82,83,Estimated
SAR Filing Timeliness,EMEA,Risk Analytics,count,2534,1757,Calculated
Alert Clearance SLA Breaches,LATAM,Compliance,%,96,83,Estimated
PEP Screening Hits,EMEA,AFC Ops,rate,6,21,Calculated
High-Risk Customer Count,NA,Compliance,score,35,20,Estimated
False Positive Rate,EMEA,AFC Ops,score,7,0,Calculated
Case Backlog Volume,LATAM,AFC Ops,score,38,45,Reported
Sanctions Screening Matches,APAC,AFC Ops,rate,14,8,Reported
EDD Completion Rate,APAC,Risk Analytics,count,4686,5449,Calculated
Custom Metric 13,NA,AFC Ops,count,3272,3704,Calculated
Custom Metric 14,NA,Compliance,score,0,15,Estimated
Custom Metric 15,EMEA,AML Investigations,score,23,25,Calculated
Custom Metric 16,LATAM,AML Investigations,count,2084,2365,Reported
Custom Metric 17,APAC,AML Investigations,count,3468,3498,Calculated
Custom Metric 18,APAC,Risk Analytics,count,2156,2762,Calculated
Custom Metric 19,LATAM,AFC Ops,%,32,17,Reported
Custom Metric 20,APAC,AFC Ops,rate,92,80,Reported
Custom Metric 21,APAC,Risk Analytics,count,1409,1315,Calculated
Custom Metric 22,APAC,AFC Ops,count,3089,3730,Estimated
Custom Metric 23,APAC,AFC Ops,rate,66,72,Reported
Custom Metric 24,EMEA,Compliance,%,90,87,Calculated
Custom Metric 25,NA,AML Investigations,count,3790,3310,Estimated
Custom Metric 26,EMEA,AFC Ops,count,2732,2615,Reported
Custom Metric 27,LATAM,Compliance,%,72,72,Reported
Custom Metric 28,LATAM,AFC Ops,count,4384,4792,Reported
Custom Metric 29,NA,Compliance,%,58,64,Reported
Custom Metric 30,APAC,Compliance,score,77,64,Calculated
Custom Metric 31,EMEA,AFC Ops,count,1025,1623,Calculated
Custom Metric 32,EMEA,AML Investigations,score,35,27,Estimated
Custom Metric 33,EMEA,Risk Analytics,score,68,55,Estimated
Custom Metric 34,EMEA,AFC Ops,rate,56,70,Reported
Custom Metric 35,NA,Compliance,count,2797,3035,Estimated
Custom Metric 36,EMEA,AML Investigations,rate,102,104,Calculated
Custom Metric 37,LATAM,Risk Analytics,rate,68,72,Estimated
Custom Metric 38,LATAM,AFC Ops,rate,0,4,Reported
Custom Metric 39,APAC,Compliance,%,93,103,Estimated
Custom Metric 40,NA,Compliance,count,2272,2098,Estimated
Custom Metric 41,NA,Compliance,%,60,61,Estimated
Custom Metric 42,NA,Risk Analytics,%,47,46,Calculated
Custom Metric 43,NA,AML Investigations,score,45,35,Reported
Custom Metric 44,LATAM,AML Investigations,%,40,53,Estimated
Custom Metric 45,EMEA,AFC Ops,%,40,40,Reported
Custom Metric 46,LATAM,AFC Ops,count,907,1696,Calculated
Custom Metric 47,APAC,AFC Ops,%,88,98,Estimated
Custom Metric 48,NA,AML Investigations,count,4318,4520,Calculated
Custom Metric 49,APAC,Risk Analytics,%,20,16,Calculated
Custom Metric 50,EMEA,Risk Analytics,%,33,25,Estimated
Custom Metric 51,LATAM,Risk Analytics,count,3986,3549,Reported
Custom Metric 52,LATAM,AML Investigations,count,1449,1671,Calculated
Custom Metric 53,EMEA,Risk Analytics,count,1612,1699,Reported
Custom Metric 54,NA,AFC Ops,score,55,53,Reported
Custom Metric 55,LATAM,AML Investigations,%,33,42,Reported
Custom Metric 56,NA,Compliance,score,13,8,Calculated
Custom Metric 57,APAC,AML Investigations,count,3022,3228,Calculated
Custom Metric 58,EMEA,AML Investigations,count,1202,1600,Reported
Custom Metric 59,APAC,Compliance,rate,76,74,Calculated
Custom Metric 60,APAC,Risk Analytics,score,9,10,Estimated
Custom Metric 61,LATAM,Risk Analytics,rate,99,105,Calculated
Custom Metric 62,APAC,Compliance,score,8,5,Estimated
Custom Metric 63,NA,AFC Ops,%,83,69,Estimated
Custom Metric 64,APAC,Compliance,score,77,67,Calculated
Custom Metric 65,EMEA,AML Investigations,count,2204,2748,Estimated
Custom Metric 66,LATAM,AML Investigations,count,634,263,Estimated
Custom Metric 67,EMEA,Compliance,count,3048,2753,Reported
Custom Metric 68,LATAM,Risk Analytics,count,4140,4299,Estimated
Custom Metric 69,EMEA,AML Investigations,rate,38,29,Calculated
Custom Metric 70,LATAM,Risk Analytics,%,31,29,Estimated
Custom Metric 71,LATAM,Risk Analytics,score,58,44,Reported
Custom Metric 72,EMEA,AFC Ops,count,4010,4778,Calculated
Custom Metric 73,APAC,AML Investigations,count,1845,2554,Reported
Custom Metric 74,LATAM,Compliance,rate,5,8,Estimated
Custom Metric 75,EMEA,AML Investigations,%,28,38,Estimated
Custom Metric 76,APAC,AFC Ops,rate,54,48,Reported
Custom Metric 77,LATAM,AML Investigations,%,6,0,Calculated
Custom Metric 78,LATAM,AFC Ops,%,35,31,Reported
Custom Metric 79,EMEA,Risk Analytics,rate,38,49,Calculated
Custom Metric 80,LATAM,Risk Analytics,rate,82,78,Estimated
Custom Metric 81,NA,AFC Ops,rate,49,60,Reported
