Metric,Region,Owner,Unit,Q2_2024,Q3_2024,SourceType
High-Risk Customer Count,NA,AML Investigations,count,4840,5498,Estimated
Case Backlog Volume,LATAM,AML Investigations,score,15,6,Estimated
STR Quality Score,EMEA,Compliance,%,0,11,Calculated
Adverse Media Hits,APAC,AFC Ops,%,72,84,Estimated
False Positive Rate,APAC,AFC Ops,score,63,56,Reported
PEP Screening Hits,APAC,AFC Ops,score,42,50,Estimated
Sanctions Screening Matches,APAC,Compliance,score,86,91,Estimated
Alert Clearance SLA Breaches,APAC,AFC Ops,%,34,51,Calculated
KYC Exceptions Rate,NA,AML Investigations,%,102,88,Reported
Transaction Monitoring Alerts,LATAM,AML Investigations,count,1121,1665,Reported
SAR Filing Timeliness,NA,Compliance,score,39,33,Reported
EDD Completion Rate,APAC,Risk Analytics,count,3901,4653,Estimated
Custom Metric 13,APAC,Risk Analytics,%,76,80,Reported
Custom Metric 14,LATAM,AFC Ops,count,1283,1306,Estimated
Custom Metric 15,EMEA,AML Investigations,count,3587,4048,Reported
Custom Metric 16,APAC,Compliance,rate,47,31,Calculated
Custom Metric 17,LATAM,Risk Analytics,count,3782,3675,Estimated
Custom Metric 18,LATAM,Compliance,%,42,35,Calculated
Custom Metric 19,APAC,AML Investigations,%,83,81,Estimated
Custom Metric 20,EMEA,AFC Ops,rate,55,53,Estimated
Custom Metric 21,NA,AML Investigations,%,42,45,Estimated
Custom Metric 22,NA,Compliance,score,67,73,Calculated
Custom Metric 23,NA,Compliance,rate,87,89,Estimated
Custom Metric 24,LATAM,AFC Ops,score,10,17,Estimated
Custom Metric 25,APAC,Compliance,score,66,60,Calculated
Custom Metric 26,NA,Compliance,count,915,942,Calculated
Custom Metric 27,APAC,AFC Ops,count,2183,2547,Reported
Custom Metric 28,APAC,AML Investigations,rate,65,64,Calculated
Custom Metric 29,EMEA,Compliance,rate,5,10,Calculated
Custom Metric 30,APAC,Risk Analytics,rate,13,15,Estimated
Custom Metric 31,EMEA,AML Investigations,%,57,66,Estimated
Custom Metric 32,EMEA,Risk Analytics,%,81,84,Reported
Custom Metric 33,NA,AFC Ops,count,986,1655,Calculated
Custom Metric 34,LATAM,AFC Ops,count,4331,3718,Reported
Custom Metric 35,LATAM,Risk Analytics,score,47,48,Calculated
Custom Metric 36,APAC,AFC Ops,rate,31,34,Reported
Custom Metric 37,EMEA,AML Investigations,count,2075,2836,Reported
Custom Metric 38,NA,Compliance,score,30,36,Reported
Custom Metric 39,APAC,Risk Analytics,%,54,52,Estimated
Custom Metric 40,EMEA,AFC Ops,rate,71,64,Reported
Custom Metric 41,NA,Compliance,rate,78,80,Reported
